"filename", "language", "TypeScript", "JavaScript", "JSON", "XML", "JSON with Comments", "PostCSS", "Ignore", "comment", "blank", "total"
"/Users/kietle/Desktop/Roo-Code-Fork/src/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/Users/kietle/Desktop/Roo-Code-Fork/src/.vscodeignore", "Ignore", 0, 0, 0, 0, 0, 0, 21, 8, 8, 37
"/Users/kietle/Desktop/Roo-Code-Fork/src/__mocks__/fs/promises.ts", "TypeScript", 148, 0, 0, 0, 0, 0, 0, 23, 23, 194
"/Users/kietle/Desktop/Roo-Code-Fork/src/__mocks__/vscode.js", "JavaScript", 0, 154, 0, 0, 0, 0, 0, 1, 20, 175
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/command-integration.spec.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 4, 13, 57
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/command-mentions.spec.ts", "TypeScript", 282, 0, 0, 0, 0, 0, 0, 17, 63, 362
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/commands.spec.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 7, 13, 97
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/delegation-events.spec.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 2, 7, 49
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/dist_assets.spec.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 1, 6, 60
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/extension.spec.ts", "TypeScript", 315, 0, 0, 0, 0, 0, 0, 20, 56, 391
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/history-resume-delegation.spec.ts", "TypeScript", 466, 0, 0, 0, 0, 0, 0, 24, 55, 545
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/migrateSettings.spec.ts", "TypeScript", 162, 0, 0, 0, 0, 0, 0, 42, 50, 254
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/nested-delegation-resume.spec.ts", "TypeScript", 216, 0, 0, 0, 0, 0, 0, 27, 28, 271
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/new-task-delegation.spec.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 4, 8, 45
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/provider-delegation.spec.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 8, 13, 93
"/Users/kietle/Desktop/Roo-Code-Fork/src/__tests__/single-open-invariant.spec.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 6, 17, 170
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/CodeActionProvider.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 15, 105
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/__tests__/CodeActionProvider.spec.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 2, 26, 139
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/__tests__/registerCommands.spec.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 13, 68
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/handleTask.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/handleUri.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/registerCodeActions.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 3, 11, 54
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/registerCommands.ts", "TypeScript", 208, 0, 0, 0, 0, 0, 0, 29, 44, 281
"/Users/kietle/Desktop/Roo-Code-Fork/src/activate/registerTerminalActions.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 8, 40
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/index.ts", "TypeScript", 146, 0, 0, 0, 0, 0, 0, 51, 11, 208
"/Users/kietle/Desktop/Roo-Code-Fork/src/api/providers/__tests__/anthropic-vertex.spec.ts", "TypeScript", 1222, 0, 0, 0, 0, 0, 0, 34, 165, 1421
