Date : 2026-01-31 20:12:45
Directory : /Users/kietle/Desktop/Roo-Code-Fork/src
Total : 946 files,  188384 codes, 22908 comments, 31318 blanks, all 242610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        815 |    173,726 |     22,870 |     31,136 |    227,732 |
| JSON               |        104 |     12,044 |          0 |        104 |     12,148 |
| PostCSS            |          1 |      1,747 |         12 |         11 |      1,770 |
| JSON with Comments |         19 |        536 |          0 |         19 |        555 |
| JavaScript         |          3 |        293 |         18 |         37 |        348 |
| Ignore             |          2 |         23 |          8 |          9 |         40 |
| XML                |          2 |         15 |          0 |          2 |         17 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        946 |    188,384 |     22,908 |     31,318 |    242,610 |
| . (Files)                                                                                                                   |         28 |      2,064 |        102 |        140 |      2,306 |
| __mocks__                                                                                                                   |          2 |        302 |         24 |         43 |        369 |
| __mocks__ (Files)                                                                                                           |          1 |        154 |          1 |         20 |        175 |
| __mocks__/fs                                                                                                                |          1 |        148 |         23 |         23 |        194 |
| __tests__                                                                                                                   |         12 |      1,903 |        162 |        329 |      2,394 |
| activate                                                                                                                    |          9 |        602 |         34 |        131 |        767 |
| activate (Files)                                                                                                            |          7 |        436 |         32 |         92 |        560 |
| activate/__tests__                                                                                                          |          2 |        166 |          2 |         39 |        207 |
| api                                                                                                                         |        171 |     45,497 |      4,162 |      7,593 |     57,252 |
| api (Files)                                                                                                                 |          1 |        146 |         51 |         11 |        208 |
| api/providers                                                                                                               |        133 |     36,154 |      3,187 |      6,012 |     45,353 |
| api/providers (Files)                                                                                                       |         42 |      9,702 |      1,463 |      1,588 |     12,753 |
| api/providers/__tests__                                                                                                     |         53 |     19,941 |      1,112 |      3,138 |     24,191 |
| api/providers/fetchers                                                                                                      |         29 |      5,429 |        483 |        998 |      6,910 |
| api/providers/fetchers (Files)                                                                                              |         15 |      1,456 |        371 |        365 |      2,192 |
| api/providers/fetchers/__tests__                                                                                            |         14 |      3,973 |        112 |        633 |      4,718 |
| api/providers/fetchers/__tests__ (Files)                                                                                    |         10 |      3,851 |        112 |        629 |      4,592 |
| api/providers/fetchers/__tests__/fixtures                                                                                   |          4 |        122 |          0 |          4 |        126 |
| api/providers/utils                                                                                                         |          9 |      1,082 |        129 |        288 |      1,499 |
| api/providers/utils (Files)                                                                                                 |          5 |        339 |        111 |         57 |        507 |
| api/providers/utils/__tests__                                                                                               |          4 |        743 |         18 |        231 |        992 |
| api/transform                                                                                                               |         37 |      9,197 |        924 |      1,570 |     11,691 |
| api/transform (Files)                                                                                                       |         13 |      1,757 |        454 |        249 |      2,460 |
| api/transform/__tests__                                                                                                     |         12 |      5,492 |        141 |        895 |      6,528 |
| api/transform/cache-strategy                                                                                                |          4 |      1,173 |        275 |        222 |      1,670 |
| api/transform/cache-strategy (Files)                                                                                        |          3 |        339 |        145 |         73 |        557 |
| api/transform/cache-strategy/__tests__                                                                                      |          1 |        834 |        130 |        149 |      1,113 |
| api/transform/caching                                                                                                       |          8 |        775 |         54 |        204 |      1,033 |
| api/transform/caching (Files)                                                                                               |          4 |        111 |         31 |         29 |        171 |
| api/transform/caching/__tests__                                                                                             |          4 |        664 |         23 |        175 |        862 |
| assets                                                                                                                      |          3 |      1,762 |         12 |         13 |      1,787 |
| assets/codicons                                                                                                             |          1 |      1,747 |         12 |         11 |      1,770 |
| assets/icons                                                                                                                |          1 |         12 |          0 |          1 |         13 |
| assets/images                                                                                                               |          1 |          3 |          0 |          1 |          4 |
| core                                                                                                                        |        240 |     66,151 |      8,946 |     12,242 |     87,339 |
| core/assistant-message                                                                                                      |          8 |      2,511 |        398 |        381 |      3,290 |
| core/assistant-message (Files)                                                                                              |          4 |      1,545 |        313 |        219 |      2,077 |
| core/assistant-message/__tests__                                                                                            |          4 |        966 |         85 |        162 |      1,213 |
| core/auto-approval                                                                                                          |          6 |        785 |        151 |        149 |      1,085 |
| core/auto-approval (Files)                                                                                                  |          5 |        557 |        117 |         75 |        749 |
| core/auto-approval/__tests__                                                                                                |          1 |        228 |         34 |         74 |        336 |
| core/checkpoints                                                                                                            |          2 |        749 |         74 |        164 |        987 |
| core/checkpoints (Files)                                                                                                    |          1 |        299 |         29 |         65 |        393 |
| core/checkpoints/__tests__                                                                                                  |          1 |        450 |         45 |         99 |        594 |
| core/condense                                                                                                               |          4 |      2,383 |        461 |        430 |      3,274 |
| core/condense (Files)                                                                                                       |          1 |        408 |        187 |         85 |        680 |
| core/condense/__tests__                                                                                                     |          3 |      1,975 |        274 |        345 |      2,594 |
| core/config                                                                                                                 |         12 |      7,105 |        767 |      1,420 |      9,292 |
| core/config (Files)                                                                                                         |          4 |      1,842 |        361 |        386 |      2,589 |
| core/config/__tests__                                                                                                       |          8 |      5,263 |        406 |      1,034 |      6,703 |
| core/context                                                                                                                |          2 |        358 |         15 |         72 |        445 |
| core/context-management                                                                                                     |          3 |      1,656 |        354 |        292 |      2,302 |
| core/context-management (Files)                                                                                             |          1 |        226 |         97 |         37 |        360 |
| core/context-management/__tests__                                                                                           |          2 |      1,430 |        257 |        255 |      1,942 |
| core/context-tracking                                                                                                       |          2 |        205 |         40 |         45 |        290 |
| core/context/context-management                                                                                             |          2 |        358 |         15 |         72 |        445 |
| core/context/context-management (Files)                                                                                     |          1 |         85 |         11 |         19 |        115 |
| core/context/context-management/__tests__                                                                                   |          1 |        273 |          4 |         53 |        330 |
| core/diff                                                                                                                   |          6 |      2,800 |        181 |        362 |      3,343 |
| core/diff (Files)                                                                                                           |          1 |         40 |         21 |         11 |         72 |
| core/diff/strategies                                                                                                        |          5 |      2,760 |        160 |        351 |      3,271 |
| core/diff/strategies (Files)                                                                                                |          2 |      1,326 |        151 |        189 |      1,666 |
| core/diff/strategies/__tests__                                                                                              |          3 |      1,434 |          9 |        162 |      1,605 |
| core/environment                                                                                                            |          3 |        681 |         43 |        151 |        875 |
